text	x-top-left	y-top-left	x-top-right	y-top-right	x-bottom-right	y-bottom-right	x-bottom-left	y-bottom-left
INVOICE	122.0	162.0	523.0	162.0	523.0	239.0	122.0	239.0
Widgets	1050.0	177.0	1297.0	177.0	1297.0	237.0	1050.0	237.0
ltd	1320.0	177.0	1406.0	177.0	1406.0	226.0	1320.0	226.0
ATTN:	129.0	310.0	207.0	310.0	207.0	331.0	129.0	331.0
Jack	216.0	310.0	273.0	310.0	273.0	331.0	216.0	331.0
Jones	282.0	310.0	356.0	310.0	356.0	331.0	282.0	331.0
Esq	365.0	310.0	410.0	310.0	410.0	336.0	365.0	336.0
Expert	131.0	354.0	207.0	354.0	207.0	378.0	131.0	378.0
tooling	216.0	354.0	294.0	354.0	294.0	379.0	216.0	379.0
5	130.0	397.0	143.0	397.0	143.0	417.0	130.0	417.0
North	153.0	397.0	218.0	397.0	218.0	417.0	153.0	417.0
Road	228.0	397.0	291.0	397.0	291.0	417.0	228.0	417.0
London	131.0	440.0	219.0	440.0	219.0	460.0	131.0	460.0
W5	130.0	489.0	171.0	489.0	171.0	509.0	130.0	509.0
8AP	179.0	489.0	229.0	489.0	229.0	509.0	179.0	509.0
25	1179.0	308.0	1210.0	308.0	1210.0	331.0	1179.0	331.0
South	1222.0	308.0	1299.0	308.0	1299.0	331.0	1222.0	331.0
Street	1311.0	308.0	1390.0	308.0	1390.0	331.0	1311.0	331.0
London	1291.0	351.0	1389.0	351.0	1389.0	373.0	1291.0	373.0
LN1	1270.0	395.0	1318.0	395.0	1318.0	416.0	1270.0	416.0
2QZ	1333.0	394.0	1391.0	394.0	1391.0	416.0	1333.0	416.0
01234	1171.0	438.0	1254.0	438.0	1254.0	461.0	1171.0	461.0
100	1266.0	438.0	1313.0	438.0	1313.0	461.0	1266.0	461.0
1000	1327.0	438.0	1390.0	438.0	1390.0	461.0	1327.0	461.0
a.smith@widgets.com	1113.0	487.0	1412.0	487.0	1412.0	510.0	1113.0	510.0
Tax	1003.0	532.0	1047.0	532.0	1047.0	552.0	1003.0	552.0
Date	1058.0	532.0	1119.0	532.0	1119.0	552.0	1058.0	552.0
15	1262.0	533.0	1288.0	533.0	1288.0	553.0	1262.0	553.0
Dec	1297.0	533.0	1346.0	533.0	1346.0	553.0	1297.0	553.0
2018	1353.0	533.0	1414.0	533.0	1414.0	553.0	1353.0	553.0
Invoice	1005.0	613.0	1089.0	613.0	1089.0	633.0	1005.0	633.0
number	1098.0	613.0	1192.0	613.0	1192.0	633.0	1098.0	633.0
12345	1341.0	613.0	1413.0	611.0	1414.0	632.0	1342.0	634.0
Order	1005.0	661.0	1073.0	661.0	1073.0	681.0	1005.0	681.0
number	1082.0	661.0	1175.0	661.0	1175.0	681.0	1082.0	681.0
53425	1338.0	662.0	1412.0	661.0	1412.0	680.0	1338.0	681.0
QTY	867.0	761.0	927.0	758.0	928.0	782.0	868.0	785.0
UNIT	1033.0	760.0	1102.0	760.0	1102.0	782.0	1033.0	782.0
PRICE	1112.0	760.0	1203.0	760.0	1203.0	782.0	1112.0	782.0
GBP	1298.0	760.0	1360.0	759.0	1360.0	781.0	1298.0	782.0
Large	131.0	809.0	198.0	809.0	198.0	835.0	131.0	835.0
widgets	206.0	809.0	299.0	809.0	299.0	835.0	206.0	835.0
Small	130.0	853.0	195.0	853.0	195.0	872.0	130.0	872.0
widgets	204.0	854.0	297.0	854.0	297.0	878.0	204.0	878.0
30.00	1162.0	809.0	1229.0	809.0	1229.0	829.0	1162.0	829.0
2.00	1177.0	851.0	1229.0	852.0	1229.0	872.0	1177.0	871.0
150.00	1333.0	809.0	1413.0	809.0	1413.0	829.0	1333.0	829.0
25	881.0	853.0	910.0	850.0	912.0	871.0	883.0	874.0
50.00	1346.0	853.0	1413.0	850.0	1414.0	871.0	1347.0	874.0
Remarks	108.0	1236.0	216.0	1236.0	216.0	1256.0	108.0	1256.0
/	224.0	1236.0	231.0	1236.0	231.0	1256.0	224.0	1256.0
Instructions:	242.0	1236.0	388.0	1236.0	388.0	1256.0	242.0	1256.0
SHIPPING/HANDLING	825.0	1251.0	1135.0	1251.0	1135.0	1274.0	825.0	1274.0
DISCOUNT	826.0	1316.0	982.0	1316.0	982.0	1340.0	826.0	1340.0
SUBTOTAL	825.0	1383.0	988.0	1383.0	988.0	1406.0	825.0	1406.0
VAT	824.0	1448.0	878.0	1448.0	878.0	1470.0	824.0	1470.0
@	893.0	1448.0	922.0	1448.0	922.0	1470.0	893.0	1470.0
20	922.0	1448.0	958.0	1448.0	958.0	1474.0	922.0	1474.0
%	960.0	1448.0	984.0	1448.0	984.0	1470.0	960.0	1470.0
Amount	824.0	1515.0	938.0	1515.0	938.0	1537.0	824.0	1537.0
Payable	949.0	1515.0	1062.0	1515.0	1062.0	1537.0	949.0	1537.0
20.00	1346.0	1252.0	1412.0	1252.0	1412.0	1272.0	1346.0	1272.0
10.00	1343.0	1319.0	1410.0	1319.0	1410.0	1344.0	1343.0	1344.0
210.00	1322.0	1384.0	1412.0	1385.0	1412.0	1407.0	1322.0	1406.0
42.00	1338.0	1448.0	1412.0	1449.0	1412.0	1473.0	1338.0	1472.0
252.00	1322.0	1516.0	1413.0	1516.0	1413.0	1538.0	1322.0	1538.0
Please	107.0	1463.0	190.0	1463.0	190.0	1483.0	107.0	1483.0
make	199.0	1463.0	264.0	1463.0	264.0	1483.0	199.0	1483.0
cheque	274.0	1463.0	364.0	1463.0	364.0	1489.0	274.0	1489.0
payable	372.0	1463.0	467.0	1463.0	467.0	1489.0	372.0	1489.0
to	476.0	1464.0	498.0	1464.0	498.0	1483.0	476.0	1483.0
Widgets	507.0	1463.0	602.0	1463.0	602.0	1489.0	507.0	1489.0
limited.	612.0	1463.0	699.0	1463.0	699.0	1483.0	612.0	1483.0
Payment	318.0	1526.0	425.0	1526.0	425.0	1552.0	318.0	1552.0
terms	432.0	1528.0	501.0	1528.0	501.0	1548.0	432.0	1548.0
30	513.0	1526.0	542.0	1526.0	542.0	1547.0	513.0	1547.0
days	552.0	1526.0	609.0	1526.0	609.0	1552.0	552.0	1552.0
Widgets	410.0	1626.0	513.0	1626.0	513.0	1654.0	410.0	1654.0
ltd	523.0	1626.0	557.0	1626.0	557.0	1648.0	523.0	1648.0
VAT	567.0	1625.0	626.0	1625.0	626.0	1648.0	567.0	1648.0
registration	636.0	1625.0	785.0	1625.0	785.0	1654.0	636.0	1654.0
number	797.0	1626.0	900.0	1626.0	900.0	1648.0	797.0	1648.0
987612345555	907.0	1625.0	1111.0	1625.0	1111.0	1648.0	907.0	1648.0
